symbol,name,price,change_price,change_percent,market_price
BTC-USD,Bitcoin USD,"69,744.55","1,547.82",2.27%,1.372T
ETH-USD,Ethereum USD,"3,414.70",58.17,1.73%,410.002B
USDT-USD,Tether USDt USD,1.0000,-0.0003,-0.03%,106.905B
BNB-USD,BNB USD,587.98,2.45,0.42%,87.923B
SOL-USD,Solana USD,181.95,6.08,3.46%,81.074B
XRP-USD,XRP USD,0.601473,0.006083,1.02%,33.112B
USDC-USD,USDC USD,0.999734,-0.000295,-0.03%,32.929B
STETH-USD,Lido Staked ETH USD,"3,407.28",73.91,2.22%,32.473B
DOGE-USD,Dogecoin USD,0.204307,0.021066,11.50%,29.377B
ADA-USD,Cardano USD,0.594574,0.012942,2.23%,21.167B
TON11419-USD,Toncoin USD,5.3809,-0.0278,-0.51%,18.675B
AVAX-USD,Avalanche USD,48.63,1.33,2.81%,18.378B
SHIB-USD,Shiba Inu USD,0.000029,0.000001,5.37%,17.024B
BCH-USD,Bitcoin Cash USD,690.60,-8.59,-1.23%,13.597B
DOT-USD,Polkadot USD,8.7334,0.3045,3.61%,12.495B
WBTC-USD,Wrapped Bitcoin USD,"69,608.37","1,630.92",2.40%,10.818B
TRX-USD,TRON USD,0.120925,0.001980,1.66%,10.603B
WTRX-USD,Wrapped TRON USD,0.120527,0.002047,1.73%,10.569B
LINK-USD,Chainlink USD,17.82,0.37,2.11%,10.461B
MATIC-USD,Polygon USD,0.916413,0.021631,2.42%,9.075B
ICP-USD,Internet Computer USD,17.39,0.30,1.76%,8.035B
LTC-USD,Litecoin USD,103.65,1.82,1.79%,7.711B
NEAR-USD,NEAR Protocol USD,6.9850,0.0196,0.28%,7.402B
UNI7083-USD,Uniswap USD,11.41,0.27,2.43%,6.834B
APT21794-USD,Aptos USD,13.72,0.70,5.36%,5.467B
LEO-USD,UNUS SED LEO USD,5.7826,0.0357,0.62%,5.359B
DAI-USD,Dai USD,0.999951,-0.000035,-0.00%,5.348B
ETC-USD,Ethereum Classic USD,34.16,1.06,3.20%,5.002B
STX4847-USD,Stacks USD,3.2819,0.1197,3.78%,4.765B
FIL-USD,Filecoin USD,8.8860,0.2986,3.48%,4.742B
MNT27075-USD,Mantle USD,1.3920,0.0641,4.83%,4.437B
ATOM-USD,Cosmos USD,11.19,0.17,1.51%,4.375B
ARB11841-USD,Arbitrum USD,1.5042,0.0310,2.11%,3.992B
CRO-USD,Cronos USD,0.147588,0.002384,1.64%,3.922B
IMX10603-USD,Immutable USD,2.7403,0.0522,1.94%,3.9B
BTCB-USD,Bitcoin BEP2 USD,"69,572.98","1,671.90",2.46%,3.759B
XLM-USD,Stellar USD,0.130279,0.001050,0.81%,3.758B
RNDR-USD,Render USD,9.7789,0.3451,3.66%,3.734B
WIF-USD,dogwifhat USD,3.7000,0.3671,11.01%,3.696B
TAO22974-USD,Bittensor USD,558.65,-17.47,-3.03%,3.661B
HBAR-USD,Hedera USD,0.107307,0.001424,1.35%,3.618B
WHBAR-USD,Wrapped HBAR USD,0.106595,0.001550,1.48%,3.594B
FDUSD-USD,First Digital USD USD,1.0004,-0.0011,-0.11%,3.526B
OKB-USD,OKB USD,58.71,2.00,3.52%,3.523B
